base,neuter,plural,translation,group,group_description
rar,rart,rare,странен,1c,1-ва група – прилагателното получава -t в ср.род и -е в мн.ч. и определена форма
mulig,mulig,mulige,възможен,3а,3-та група (подгрупа a) – Всички прилагателни завършващи на -lig или -ig: не получава окончание за среден род но получава -e за множествено число
forbudt,forbudt,forbudte,забранен,,3-та група (подгрупа c) – Прилагателни които завършват на -d: не получава окончание за среден род но получава -e за множествено число
heterofil,heterofilt,heterofile,хетеросексуален,1,1-ва група – прилагателното получава -t в ср.род и -е в мн.ч. и определена форма
homofil,homofilt,homofile,хомосексуален,1,1-ва група – прилагателното получава -t в ср.род и -е в мн.ч. и определена форма
sprø,sprøtt,sprøe,щантав,1,1-ва група – прилагателното получава -t в ср.род и -е в мн.ч. и определена форма
